Longitude,Latitude,Target,Aspect,Curvature,Rainfall_Pentad,River_dist_mts,Geology_Age,Geomorphology,Slope,Roads_dist_mts,Soil_type
78.7822,29.8701,0,10,2,268.1714478,16,8,3,4,8,6
78.9579,29.8319,0,5,1,263.3337402,8,8,3,4,8,6
79.0167,29.8433,0,8,1,248.858429,0,8,3,4,0,6
78.9538,29.8974,0,7,1,250.1608124,63,8,3,4,0,2
78.9691,29.8161,0,8,3,263.3337402,11,8,3,4,8,2
78.8794,29.832,0,2,1,267.4976501,0,8,3,4,0,6
79.06736,29.823459,1,6,1,253.6651764,0,8,2,3,0,2
79.062969,29.91989,1,7,1,231.4000854,0,1,3,2,0,2
79.064361,29.895239,1,8,1,,24,1,3,2,0,2
79.06579,29.921241,1,4,1,231.4000854,0,1,3,3,0,6
79.058041,29.827877,1,7,1,253.6651764,0,8,2,3,0,2
79.090592,29.846318,1,,3,253.6651764,23,1,,,0,
79.098999,29.713777,1,5,2,270.9804077,16,8,7,3,0,6
79.069057,29.818624,1,3,1,253.6651764,8,8,3,3,0,2
79.061722,29.896417,1,4,3,,26,1,3,2,0,2
79.071299,29.766183,1,7,3,245.5652466,8,8,3,3,0,2
79.126607,29.932907,1,5,3,239.6485748,32,1,3,3,0,6
79.06294,29.896819,1,6,1,,24,1,3,2,0,2
79.045177,29.833591,1,8,1,248.858429,8,8,3,3,0,2
79.059231,29.900482,1,7,1,231.4000854,18,1,3,3,0,2
79.049678,29.770703,1,7,1,249.6737671,11,8,3,3,0,2
79.060203,29.893183,1,6,1,,26,1,3,3,0,2
79.086055,29.847442,1,7,1,253.6651764,18,1,3,2,0,2
79.0467,29.7854,0,8,3,249.6737671,18,8,3,1,8,2
79.0859,29.8379,0,9,3,253.6651764,11,8,3,1,8,2
79.0487,29.9063,0,6,3,234.8168945,18,1,3,2,8,2
79.0448,29.8032,0,10,1,248.858429,16,8,3,2,0,2
79.1109,29.9274,0,9,3,239.6485748,24,1,3,2,8,6
79.0709,29.7052,0,5,1,270.9804077,8,8,7,3,0,6
79.0622,29.7474,0,5,1,270.9804077,8,8,3,3,0,6
79.0622,29.7474,0,5,1,270.9804077,8,8,3,3,0,6
77.889583,30,1,8,1,279.3773804,0,13,2,1,58,2
78.165672,29.957634,1,5,3,299.7283936,11,11,3,2,0,2
78.1944,30.0159,0,5,1,283.6708374,18,20,2,2,0,2
78.0786,30.0272,0,7,3,300.9963074,94,11,3,1,43,6
78.1525,30.0036,0,5,3,283.6708374,40,20,3,1,26,6
78.0809,30.0184,0,7,2,300.9963074,97,11,3,1,36,7
78.0206,30.1497,0,4,1,367.723175,8,20,3,1,59,6
78.1293,30.0481,0,3,1,303.0979309,61,13,2,1,65,2
78.1844,29.9422,0,7,2,283.550293,11,13,2,2,0,6
78.1993,30.0475,0,3,3,283.6708374,16,20,3,2,8,6
78.1594,30.0616,0,3,2,324.6715088,26,20,3,2,29,7
78.0521,30.0162,0,7,2,300.9963074,89,11,3,2,18,6
78.1398,29.9899,0,3,3,288.9613037,51,11,3,3,29,6
78.0168,30.0879,0,2,3,339.5684204,46,11,3,3,33,6
